Nome do Repositório,Idade (dias),PRs Aceitos Externos,Releases,Dias sem atualizar,Linguagem,Total Issues,Issues Fechadas,Razão Issues Fechadas (%)
Stirling-Tools/Stirling-PDF,1130,57,166,0,TypeScript,1650,1312,79.52
nestjs/nest,3313,68,141,0,TypeScript,5783,5764,99.67
ventoy/Ventoy,2183,100,108,0,C,2690,1878,69.81
unionlabs/union,1021,91,107,0,Rust,1837,1709,93.03
infiniflow/ragflow,812,39,40,0,Python,6582,3616,54.94
vuejs/awesome-vue,3787,94,0,0,Nenhuma,230,191,83.04
github/spec-kit,193,99,111,0,Python,863,327,37.89
jesseduffield/lazygit,2845,65,176,0,Go,2518,1740,69.1
sherlock-project/sherlock,2625,94,2,0,Python,1149,1069,93.04
redis/redis,6190,99,117,0,C,6914,4704,68.04
awesomedata/awesome-public-datasets,4121,100,1,0,Nenhuma,122,48,39.34
anthropics/claude-code,373,38,51,0,Shell,29086,23922,82.25
lobehub/lobehub,1017,27,1000,0,TypeScript,5390,4805,89.15
twitter/the-algorithm,1071,2,0,0,Scala,1066,749,70.26
tesseract-ocr/tesseract,4220,54,35,0,C++,2748,2318,84.35
CompVis/stable-diffusion,1300,5,0,0,Jupyter Notebook,735,199,27.07
grafana/grafana,4464,100,592,0,TypeScript,43123,39862,92.44
thedaviddias/Front-End-Checklist,3060,96,1,0,Nenhuma,151,151,100.0
enaqx/awesome-react,4227,100,0,0,Nenhuma,118,117,99.15
josephmisiti/awesome-machine-learning,4248,100,0,0,Python,97,97,100.0
openai/openai-cookbook,1453,62,0,0,Jupyter Notebook,724,655,90.47
abi/screenshot-to-code,839,36,0,0,TypeScript,396,282,71.21
python/cpython,3307,32,0,0,Python,75422,68256,90.5
vllm-project/vllm,1117,2,84,0,Python,13781,12078,87.64
ocornut/imgui,4242,99,118,0,C++,6778,5745,84.76
