Nome,Popularidade_Stars,Maturidade_Idade,Atividade_Releases,Tamanho_LOC,Tamanho_Comentarios,CBO,DIT,LCOM
react-native-image-picker/react-native-image-picker,8636,10.81,142,818,47,6.18,1.55,66.18
shwenzhang/AndResGuard,8633,10.47,4,6506,1149,3.53,1.5,22.38
testcontainers/testcontainers-java,8616,10.97,91,32587,7987,5.32,1.48,21.76
dropwizard/dropwizard,8598,15.2,192,39973,9024,5.96,1.52,18.82
airbnb/epoxy,8571,9.64,78,43301,11565,7.18,1.81,138.32
google/tsunami-security-scanner,8560,5.82,1,9082,5191,6.23,1.53,15.12
junit-team/junit4,8550,17.21,13,32946,7448,3.87,1.46,12.96
aeron-io/aeron,8542,12.14,139,127125,51797,8.01,1.3,117.32
chrisjenx/Calligraphy,8542,12.28,4,968,569,5.72,1.44,11.36
apache/beam,8534,10.16,57,750168,0,7.47,1.53,20.46
wildfirechat/im-server,8469,7.18,115,161175,21407,6.44,1.54,112.16
DImuthuUpe/AndroidPdfViewer,8463,9.83,0,3325,1035,4.86,1.25,76.77
hs-web/hsweb-framework,8400,10.2,32,26119,0,6.17,1.35,11.53
roughike/BottomBar,8384,10.04,4,2834,477,4.91,1.29,61.67
spring-projects/spring-ai,8366,2.76,19,177764,0,7.03,1.21,27.99
pentaho/pentaho-kettle,8324,12.48,1,791731,0,6.05,1.28,81.87
bytedeco/javacv,8306,11.94,14,26976,5125,6.13,2.13,134.85
alibaba/transmittable-thread-local,8275,12.46,58,6932,0,5.59,1.43,12.35
aritraroy/UltimateAndroidReference,8243,8.97,0,22,0,1.0,1.0,0.0
apache/shardingsphere-elasticjob,8221,10.55,31,15593,0,5.46,1.15,3.19
krahets/LeetCode-Book,8207,4.28,0,5690,0,1.29,1.0,0.07
alibaba/atlas,8165,9.08,7,157514,140824,5.64,1.44,29.88
alibaba/otter,8130,12.64,10,68163,26871,4.61,1.37,32.45
apache/tomcat,8130,14.5,0,360535,167784,4.54,1.82,182.94
florent37/MaterialViewPager,8105,10.93,11,1616,381,4.55,1.3,9.39
LaurieWired/GhidraMCP,8098,1.02,5,1219,197,16.33,1.67,459.0
guolindev/LitePal,8083,13.11,0,11830,8420,5.01,1.65,49.45
junixapp/XPopup,8022,7.31,221,12348,2077,4.7,1.58,22.9
davemorrissey/subsampling-scale-image-view,8009,12.59,21,4262,1140,5.62,1.58,79.72
Graylog2/graylog2-server,7992,15.87,0,269958,0,8.22,1.33,18.3
gunnarmorling/1brc,7990,2.26,0,53431,7332,3.17,1.09,7.58
Netflix/SimianArmy,7982,13.73,4,16056,8835,5.85,1.42,25.16
JakeWharton/hugo,7911,12.34,0,384,2,5.71,1.14,27.71
jeecgboot/jimureport,7893,6.32,33,350,462,6.17,1.0,2.5
exadel-inc/CompreFace,7865,5.73,11,7766,2939,7.85,1.66,3.89
dropwizard/metrics,7849,16.09,142,30088,5096,5.53,1.37,9.14
HannahMitt/HomeMirror,7830,10.6,0,1719,607,2.73,1.08,5.35
AntennaPod/AntennaPod,7773,13.66,65,55108,4184,7.55,1.49,20.85
lecho/hellocharts-android,7767,11.47,14,10995,1844,6.31,1.52,40.29
ChrisRM/material-theme-jetbrains,7763,10.52,17,14517,9764,4.33,2.25,84.42
Tencent/Shadow,7743,6.8,5,21909,0,4.25,1.78,17.33
MuntashirAkon/AppManager,7726,5.83,76,128612,18862,7.93,1.47,73.87
PowerJob/PowerJob,7717,6.04,51,24684,11520,5.75,1.18,5.14
goldze/MVVMHabit,7709,8.69,3,9110,3347,3.58,1.27,15.76
trello-archive/RxLifecycle,7669,10.7,22,2368,815,6.43,1.65,1.41
FongMi/TV,7661,3.77,0,30986,1,6.88,1.42,107.15
vipshop/vjtools,7652,7.84,9,18382,6076,3.13,1.28,26.3
mapstruct/mapstruct,7634,13.84,36,103911,0,3.83,1.17,11.19
gedoor/MyBookshelf,7623,7.8,165,48375,6315,6.34,1.47,58.66
google/android-classyshark,7596,10.47,17,8714,2446,3.17,1.28,10.25
MinecraftForge/MinecraftForge,7573,14.17,0,56657,0,7.42,1.57,32.69
koush/AndroidAsync,7551,13.6,0,18086,3066,3.61,1.53,19.44
kaushikgopal/RxJava-Android-Samples,7526,11.69,0,2633,187,6.63,1.83,9.2
kevin-wayne/algs4,7524,10.58,0,22522,28066,4.0,1.02,47.47
swagger-api/swagger-core,7521,14.74,130,45855,0,4.71,1.23,48.43
Genymobile/gnirehtet,7517,9.14,12,4330,1062,3.77,1.19,14.3
yuanguangxin/LeetCode,7492,6.22,0,3441,415,1.24,1.0,0.84
dependency-check/DependencyCheck,7472,13.57,91,41996,34041,6.94,1.83,63.96
lenve/VBlog,7434,8.26,0,781,136,4.55,1.03,29.07
enso-org/enso,7431,9.29,714,129564,0,6.44,1.68,36.55
dyc87112/SpringCloud-Learning,7394,9.61,0,13492,0,5.88,1.04,28.73
gocd/gocd,7386,12.3,87,257388,0,7.5,1.28,34.5
abel533/Mapper,7385,11.36,11,19455,11525,5.09,1.24,36.24
Qihoo360/RePlugin,7350,8.81,19,30275,17284,5.2,1.42,32.02
leolin310148/ShortcutBadger,7340,12.37,0,885,240,5.29,1.16,3.48
